,Time,Name,Date
0,17:05.50,Roy Saari,8/17/1963
1,16:58.70,Roy Saari,9/2/1964
2,16:58.60,Steven Krause,8/15/1965
3,16:41.60,Mike Burton,8/21/1966
4,16:34.10,Mike Burton,8/13/1967
5,16:29.40,Mike Burton,8/4/1968
6,16:08.50,Mike Burton,9/3/1968
7,16:04.50,Mike Burton,8/17/1969
8,15:57.10,John Kinsella,8/23/1970
9,15:52.91,Rick DeMont,8/6/1972
10,15:52.58,Mike Burton,9/4/1972
11,15:35.44,Rick DeMont,9/8/1973
12,15:31.75,Tim Shaw,8/25/1974
13,15:20.91,Tim Shaw,6/21/1975
14,15:06.66,Brian Goodell,6/21/1976
15,15:02.40,Brian Goodell,7/20/1976
16,15:01.51,George DiCarlo,6/30/1984
17,14:59.11,Erik Vendt,8/16/2000
18,14:56.81,Chris Thompson,9/23/2000
19,14:56.71,Larsen Jensen,7/14/2004
20,14:45.29,Larsen Jensen,8/21/2004
21,14:41.20,Connor Jaeger,8/9/2015
22,14:39.48,Connor Jaeger,8/13/2016
23,14:36.70,Bobby Finke,6/25/2022
