RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,1:51.92,Aaron Peirsol,CA,UN,,2009 World Champs,7/31/2009,Rome
2,1:53.08,Aaron Peirsol,CA,TXLA,,2009 Summer Nationals,7/11/2009,
3,1:53.94,Ryan Lochte,FL,UN,,2008 Olympic Games,8/9/2008,
4,1:54.32,Ryan Lochte,FL,DBS,,2007 World Champs,3/30/2007,
4,1:54.32,Aaron Peirsol,CA,TXLA,,2008 Olympic Trials,7/4/2008,
6,1:54.44,Aaron Peirsol,CA,TXLA,,2006 Pan Pacific Champs,8/19/2006,
7,1:54.66,Aaron Peirsol,CA,TXLA,,2005 World Champs,7/29/2005,
8,1:54.74,Aaron Peirsol,CA,NOVA,,2004 Olympic Trials,7/12/2004,
9,1:55.15,Aaron Peirsol,CA,NOVA,,2002 Spring Nationals,3/20/2002,
10,1:55.87,Lenny Krayzelburg,CA,RYL,,,8/27/1999,
11,1:56.68,Lenny Krayzelburg,CA,RYL,,1999 National Champs,8/7/1999,
12,1:56.95,Lenny Krayzelburg,CA,RYL,,1999 National Champs,3/29/1999,
13,1:57.38,Lenny Krayzelburg,CA,RYL,,1998 National Champs,8/12/1998,
14,1:57.87,Lenny Krayzelburg,CA,RYL,,,8/12/1997,
15,1:58.04,Lenny Krayzelburg,CA,RYL,,1997 National Champs,8/1/1997,
16,1:58.33,Tripp Schwenk,SE,SSS,,1995 National Champs,8/1/1995,
17,1:58.66,Royce Sharp,US,UN,,1992 Olympic Trials,3/3/1992,
18,1:58.86,Rick Carey,CT,UN,,1984 Olympic Trials,6/27/1984,
19,1:58.93,Rick Carey,CT,UN,,,8/3/1983,
20,1:59.19,John Naber,US,UN,,1976 Olympic Games,7/24/1976,
21,2:00.64,John Naber,US,UN,,1976 Olympic Trials,6/19/1976,
22,2:02.46,John Naber,US,UN,,,6/19/1976,
23,2:02.52,John Naber,US,UN,,1975 National Champs,8/20/1975,
24,2:02.83,John Naber,US,UN,,,8/31/1974,
25,2:03.53,John Naber,US,UN,,1974 National Champs,8/22/1974,
26,2:03.55,John Naber,US,UN,,,8/22/1974,
27,2:04.09,Michael Stamm,US,UN,,,9/2/1972,
28,2:06.30,Michael Stamm,US,UN,,,8/20/1970,
29,2:06.60,Gary Hall,AZ,PSC,,1969 National Champs,8/14/1969,
30,2:08.80,Jack Horsley,US,UN,,,9/1/1968,
30,2:08.80,Mitch Ivey,FL,UN,,,9/1/1968,
32,2:09.40,Charles Hickcox,US,UN,,,8/29/1967,
