RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,49.45,Caeleb Dressel,FL,UN,,2020 Olympic Games,7/31/2021,Tokyo
2,49.50,Caeleb Dressel,FL,UN,,2019 World Champs,7/26/2019,Gwangju
3,49.82,Michael Phelps,US,UN,,2009 World Champs,8/1/2009,Rome
4,50.22,Michael Phelps,US,NBAC,,2009 Summer Nationals,7/9/2009,
5,50.40,Ian Crocker,ST,TXLA,,2005 World Champs,7/30/2005,
6,50.76,Ian Crocker,ST,TXLA,,2004 Olympic Trials,7/13/2004,
7,50.98,Ian Crocker,ST,UN,,2003 World Champs,7/26/2003,
8,51.47,Michael Phelps,US,NBAC,,2003 World Champs,7/25/2003,
9,51.84,Michael Phelps,US,NBAC,,2003 Mutual of Omaha Duel in the Pool,4/6/2003,
10,51.88,Michael Phelps,US,NBAC,,2002 Summer Nationals,8/16/2002,
11,52.25,Ian Crocker,ST,TXLA,,2001 World Champs,7/26/2001,
12,52.44,Ian Crocker,ST,TXLA,,2000 Olympic Games,9/22/2000,
13,52.76,Neil Walker,NT,VAC,,Pan Pacs,8/12/1997,
14,52.84,Pablo Morales,MW,UN,,,6/23/1986,
15,53.23,Pablo Morales,MW,UN,,1984 Olympic Games,7/30/1984,
16,53.38,Pablo Morales,MW,UN,,1984 Olympic Trials,6/26/1984,
17,53.44,Matt Gribble,US,UN,,,8/6/1983,
18,53.81,William Paulus,US,UN,,,4/3/1981,
19,54.18,Joseph Bottom,US,UN,,,8/27/1977,
20,54.27,Mark Spitz,US,UN,,1972 Olympic Games,8/31/1972,
21,54.56,Mark Spitz,US,UN,,1972 Olympic Trials,8/4/1972,
22,54.72,Mark Spitz,US,UN,,,8/4/1972,
23,55.00,Mark Spitz,US,UN,,,8/25/1971,
24,55.60,Mark Spitz,US,UN,,1968 Olympic Trials,8/30/1968,
25,55.70,Mark Spitz,US,UN,,,10/7/1967,
26,56.30,Doug Russell,SI,UN,,,8/29/1967,
26,56.30,Mark Spitz,US,UN,,,7/31/1967,
28,57.50,Walter Richardson,US,UN,,1964 National Champs,7/31/1964,
29,57.80,Walter Richardson,US,UN,,,8/24/1963,
30,58.60,Fred Schmidt,US,UN,,1961 Men's National Champs,8/20/1961,
31,58.70,Lance Larson,CA,NOVA,,1960 Men's National Champs,7/24/1960,
32,59.00,Lance Larson,CA,NOVA,,,6/29/1960,
