RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,1:42.96,Michael Phelps,US,UN,,2008 Olympic Games,8/12/2008,Beijing
2,1:43.86,Michael Phelps,US,CW,,2007 World Champs,3/25/2007,
3,1:45.20,Michael Phelps,US,CW,,2005 World Champs,7/24/2005,
4,1:45.32,Michael Phelps,US,UN,,2004 Olympic Games,8/16/2004,
5,1:45.99,Michael Phelps,US,NBAC,,2003 Summer Nationals,8/7/2003,
6,1:46.60,Michael Phelps,US,NBAC,,2003 World Champs,7/23/2003,
7,1:46.73,Josh Davis,US,UN,,2000 Olympic Games,9/18/2000,
8,1:47.26,Josh Davis,US,UN,,2000 US Olympic Trials,8/11/2000,
9,1:47.72,Matt Biondi,HI,ASC,,,8/8/1988,
10,1:47.89,Matt Biondi,HI,ASC,,1985 National Champs,8/7/1985,
11,1:47.92,Mike Heath,FL,SPAC,,,6/25/1984,
12,1:48.58,Mike Heath,FL,SPAC,,,6/25/1984,
13,1:48.93,Rowdy Gaines,FL,UN,,,7/19/1982,
14,1:49.16,Rowdy Gaines,FL,UN,,,4/10/1980,
15,1:50.29,Bruce Furniss,CA,ORCA,,1976 Olympic Games,7/19/1976,
16,1:50.32,Bruce Furniss,CA,ORCA,,1975 National Champs,8/21/1975,
17,1:50.89,Bruce Furniss,CA,ORCA,,,6/18/1975,
18,1:51.41,Bruce Furniss,CA,ORCA,,,6/18/1975,
19,1:51.66,Tim Shaw,IL,,,,8/23/1974,
20,1:52.78,Mark Spitz,US,UN,,1972 Olympic Games,8/29/1972,
21,1:53.50,Mark Spitz,US,UN,,,9/10/1971,
22,1:54.20,Mark Spitz,US,UN,,,9/4/1971,
23,1:54.30,Don Schollander,US,UN,,1968 Olympic Trials,8/30/1968,
23,1:54.30,Mark Spitz,US,UN,,,7/12/1969,
