RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,1:54.00,Ryan Lochte,FL,UN,,2011 World Champs,7/28/2011,Shanghai
2,1:54.10,Ryan Lochte,FL,UN,,2009 World Champs,7/26/2009,
3,1:54.23,Michael Phelps,US,UN,,2008 Olympic Games,8/15/2008,
4,1:54.80,Michael Phelps,US,CW,,2008 Olympic Trials,7/4/2008,
5,1:54.98,Michael Phelps,US,CW,,2007 World Champs,3/29/2007,
6,1:55.84,Michael Phelps,US,CW,,2006 Pan Pacific Champs,8/20/2006,
7,1:55.94,Michael Phelps,US,NBAC,,2003 Summer Nationals,8/9/2003,
8,1:56.04,Michael Phelps,US,NBAC,,2003 World Champs,7/25/2003,
9,1:57.52,Michael Phelps,US,NBAC,,2003 World Champs,7/24/2003,
10,1:57.94,Michael Phelps,US,NBAC,,2003 PC Santa Clara XXXVI International,6/29/2003,
11,1:58.68,Michael Phelps,US,NBAC,,2002 Summer Nationals,8/12/2002,
12,1:59.77,Tom Dolan,PV,NCAP,,2000 Olympic Games,9/21/2000,
13,2:00.11,Dave Wharton,OH,NAAC,,,8/20/1989,
14,2:00.98,Dave Wharton,OH,NAAC,,1988 Olympic Trials,8/13/1988,
15,2:02.23,Pablo Morales,MW,UN,,,6/27/1986,
16,2:02.68,Bill Barrett,US,UN,,,8/28/1983,
17,2:03.24,Bill Barrett,US,UN,,,8/1/1980,
17,2:03.24,Bill Barrett,US,UN,,1983 National Champs,8/5/1983,
17,2:03.24,Steve Lundquist,US,UN,,1983 National Champs,8/5/1983,
20,2:03.29,Jesse Vassallo,FG,UN,,,7/6/1979,
21,2:04.39,Steve Lundquist,US,UN,,,8/2/1978,
22,2:06.32,Steven Furniss,US,UN,,,9/1/1974,
23,2:06.80,Bruce Furniss,CA,ORCA,,,8/23/1975,
24,2:08.37,Tim McKee,US,UN,,1972 Olympic Games,9/3/1972,
25,2:09.30,Gary Hall,AZ,PSC,,1972 Olympic Trials,8/6/1972,
26,2:09.50,Gary Hall,AZ,PSC,,,8/23/1970,
27,2:09.60,Gary Hall,AZ,PSC,,1969 National Champs,8/17/1969,
28,2:10.60,Charles Hickcox,US,UN,,1968 Olympic Trials,8/31/1968,
29,2:11.30,Greg Buckingham,US,UN,,1967 Men's National Champs,8/23/1967,
30,2:12.40,Greg Buckingham,US,UN,,,8/21/1966,
31,2:14.90,Dick Roth,US,UN,,,8/15/1965,
