RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,3:42.78,Larsen Jensen,CA,UN,,2008 Olympic Games,8/10/2008,Beijing
2,3:43.53,Larsen Jensen,CA,TROJ,,2008 Olympic Trials,6/29/2008,
3,3:43.82,Peter Vanderkaay,MI,CW,,2008 Pro Swim - Santa Clara,5/15/2008,
4,3:44.11,Klete Keller,CA,CW,,2004 Olympic Games,8/14/2004,
5,3:44.19,Klete Keller,CA,CW,,2004 Olympic Trials,7/7/2004,
6,3:46.73,Michael Phelps,US,NBAC,,2003 Summer Nationals,8/8/2003,
7,3:47.00,Klete Keller,CA,TROJ,,2000 Olympic Games,9/16/2000,
8,3:47.18,Klete Keller,CA,TROJ,,2000 US Olympic Trials,8/9/2000,
9,3:48.06,Matt Cetlinski,FL,UN,,1988 Olympic Trials,8/11/1988,
10,3:49.41,Dan Jorgensen,OR,UN,,,6/25/1986,
11,3:51.03,George DiCarlo,CO,UN,,,6/28/1984,
12,3:51.56,Brian Goodell,US,UN,,,8/27/1977,
13,3:51.93,Brian Goodell,US,UN,,1976 Olympic Games,7/22/1976,
14,3:53.08,Brian Goodell,US,UN,,1976 Olympic Trials,6/18/1976,
15,3:53.31,Tim Shaw,IL,EST,,,8/20/1975,
16,3:53.95,Tim Shaw,IL,EST,,,6/19/1975,
17,3:54.69,Tim Shaw,IL,EST,,,8/22/1974,
18,3:56.96,Tim Shaw,IL,EST,,,8/22/1974,
19,3:58.18,Rick DeMont,AZ,FORD,,1973 World Champs,9/6/1973,
20,4:00.11,Kurt Krumpholz,CA,SCAL,,,8/4/1972,
21,4:02.10,Thomas McBreen,CA,UN,,,8/25/1971,
22,4:02.80,John Kinsella,US,UN,,,8/20/1970,
23,4:06.60,Mike Burton,IL,ELY,,,8/1/1968,
24,4:07.70,Mark Spitz,US,UN,,,6/23/1968,
25,4:08.20,Greg Charlton,US,UN,,,8/28/1967,
26,4:08.80,Mark Spitz,US,UN,,,7/7/1967,
