RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,46.96,Caeleb Dressel,FL,UN,,2019 World Champs,7/25/2019,Gwangju
2,47.17,Caeleb Dressel,FL,UN,,2017 World Champs,7/27/2017,Budapest
3,47.26,Caeleb Dressel,FL,BSS,,2017 World Champs,7/23/2017,Budapest
4,47.33,Dave Walters,ST,UN,,2009 World Champs,7/30/2009,Rome
5,47.51,Michael Phelps,US,UN,,2008 Olympic Games,8/9/2008,
6,47.58,Jason Lezak,CA,ROSE,,2008 Olympic Trials,6/29/2008,
7,47.78,Garrett Weber-Gale,ST,TXLA,,2008 Olympic Trials,6/29/2008,
8,48.17,Jason Lezak,CA,NOVA,,2004 Olympic Trials,7/7/2004,
9,48.33,Tony Ervin,NC,PSC,,2001 World Champs,7/22/2001,
10,48.42,Matt Biondi,HI,ASC,,1988 Olympic Trials,8/10/1988,
11,48.74,Matt Biondi,HI,ASC,,,6/24/1986,
12,48.95,Matt Biondi,HI,ASC,,1985 National Champs,8/6/1985,
13,49.24,Matt Biondi,HI,ASC,,,8/6/1985,
14,49.36,Rowdy Gaines,FL,UN,,,4/3/1981,
15,49.47,Rowdy Gaines,FL,UN,,,4/3/1981,
16,49.61,Rowdy Gaines,FL,UN,,,4/9/1980,
17,49.99,Jim Montgomery,NT,DM,,1976 Olympic Games,7/25/1976,
18,50.39,Jim Montgomery,NT,DM,,,7/24/1976,
19,50.59,Jim Montgomery,NT,DM,,,8/23/1975,
20,51.11,Andrew Coan,FG,UN,,,8/3/1975,
21,51.12,Jim Montgomery,NT,DM,,,6/21/1975,
22,51.22,Mark Spitz,US,UN,,1972 Olympic Games,9/3/1972,
23,51.47,Mark Spitz,US,UN,,,8/5/1972,
24,51.94,Mark Spitz,US,UN,,,8/23/1970,
25,52.60,Kenneth Walsh,US,UN,,,7/27/1967,
25,52.60,Zac Zorn,US,UN,,,9/2/1968,
27,52.90,Steve Clark,OH,UN,,,10/11/1964,
28,54.00,Steve Clark,OH,UN,,,8/18/1963,
28,54.00,Richard McDonough,US,UN,,,8/19/1963,
28,54.00,Don Schollander,US,UN,,1964 National Champs,8/2/1964,
31,54.40,Steve Clark,OH,UN,,,8/18/1961,
32,54.80,Jeff Farrell,US,UN,,1960 Men's National Champs,7/1/1960,
33,55.10,Joe Alkire,US,UN,,,6/1/1960,
