RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,14:36.70,Bobby Finke,FL,UN,,2022 World Champs,6/25/2022,Budapest
2,14:39.48,Connor Jaeger,NJ,UN,,2016 Olympic Games,8/13/2016,Rio
3,14:41.20,Connor Jaeger,NJ,UN,,2015 World Champs,8/9/2015,Kazan
4,14:45.29,Larsen Jensen,CA,MVN,,2004 Olympic Games,8/21/2004,Athens
5,14:56.71,Larsen Jensen,CA,TROJ,,2004 Olympic Trials,7/14/2004,
6,14:56.81,Chris Thompson,MI,RISE,,2000 Olympic Games,9/23/2000,
7,14:59.11,Erik Vendt,MI,CW,,2000 National Champs,8/16/2000,
8,15:01.51,George DiCarlo,CO,UN,,1984 Olympic Trials,6/30/1984,
9,15:02.40,Brian Goodell,US,UN,,1976 Olympic Games,7/20/1976,
10,15:06.66,Brian Goodell,US,UN,,1976 Olympic Trials,6/21/1976,
11,15:20.91,Tim Shaw,IL,EST,,,6/21/1975,
12,15:31.75,Tim Shaw,IL,EST,,,8/25/1974,
13,15:35.44,Rick DeMont,AZ,FORD,,1973 World Champs,9/8/1973,
14,15:52.58,Mike Burton,IL,ELY,,,9/4/1972,
15,15:52.91,Rick DeMont,AZ,FORD,,1972 Olympic Trials,8/6/1972,
16,15:57.10,John Kinsella,US,UN,,1970 National Champs,8/23/1970,
17,16:04.50,Mike Burton,IL,ELY,,,8/17/1969,
18,16:08.50,Mike Burton,IL,ELY,,,9/3/1968,
19,16:29.40,Mike Burton,IL,ELY,,,8/4/1968,
20,16:34.10,Mike Burton,IL,ELY,,,8/13/1967,
21,16:41.60,Mike Burton,IL,ELY,,,8/21/1966,
22,16:58.60,Steven Krause,US,UN,,1965 National Champs,8/15/1965,
23,16:58.70,Roy Saari,US,UN,,1964 Olympic Trials,9/2/1964,
24,17:05.50,Roy Saari,US,UN,,,8/17/1963,
